sending_region,receiving_region,bitrate_bps,avgrtt
gcp--us-central1,gcp--northamerica-northeast2,1173749760,23.257
gcp--us-central1,gcp--europe-west2,304873472,96.655
gcp--us-central1,aws--eu-west-2,89784320,96.706
gcp--us-central1,gcp--europe-west1,293732352,100.002
gcp--us-central1,aws--eu-west-3,82968576,102.271
gcp--us-central1,aws--eu-west-1,86900736,103.435
gcp--us-central1,gcp--europe-west4,281935872,105.924
gcp--us-central1,gcp--europe-west3,274726912,106.365
gcp--us-central1,aws--eu-north-1,71696384,124.098
gcp--us-central1,gcp--europe-north1,225181696,126.497
gcp--us-central1,aws--ap-northeast-1,65798144,133.996
gcp--us-central1,aws--sa-east-1,57933824,145.483
gcp--us-central1,aws--ap-southeast-2,46399488,185.495
gcp--us-central1,gcp--australia-southeast2,145620992,187.59
gcp--us-central1,aws--ap-southeast-1,43515904,191.112
gcp--us-central1,gcp--asia-southeast1,142344192,191.208
gcp--us-central1,gcp--asia-southeast2,128712704,207.831
gcp--us-central1,gcp--asia-south1,104857600,253.816
gcp--us-central1,gcp--asia-south2,96993280,256.486
gcp--northamerica-northeast2,gcp--us-central1,1190395904,23.003
gcp--northamerica-northeast2,aws--eu-west-2,104726528,85.152
gcp--northamerica-northeast2,gcp--europe-west2,345899008,85.392
gcp--northamerica-northeast2,gcp--europe-west1,332398592,89.765
gcp--northamerica-northeast2,aws--eu-west-3,89522176,92.321
gcp--northamerica-northeast2,aws--eu-west-1,90308608,94.194
gcp--northamerica-northeast2,gcp--europe-west4,315228160,96.265
gcp--northamerica-northeast2,gcp--europe-west3,308543488,96.809
gcp--northamerica-northeast2,aws--eu-north-1,73924608,116.191
gcp--northamerica-northeast2,gcp--europe-north1,235405312,122.74
gcp--northamerica-northeast2,aws--sa-east-1,68812800,133.747
gcp--northamerica-northeast2,aws--ap-northeast-1,63438848,146.696
gcp--northamerica-northeast2,aws--ap-southeast-2,42598400,202.025
gcp--northamerica-northeast2,gcp--australia-southeast2,136183808,202.708
gcp--northamerica-northeast2,aws--ap-southeast-1,39190528,209.131
gcp--northamerica-northeast2,gcp--asia-southeast1,129892352,209.22
gcp--northamerica-northeast2,gcp--asia-southeast2,120717312,219.364
gcp--northamerica-northeast2,gcp--asia-south1,122028032,223.149
gcp--northamerica-northeast2,gcp--asia-south2,111149056,242.025
gcp--europe-west4,gcp--europe-west1,1194196992,10.369
gcp--europe-west4,gcp--europe-west3,1209794560,10.804
gcp--europe-west4,gcp--europe-west2,1189085184,13.165
gcp--europe-west4,aws--eu-west-2,739770368,14.816
gcp--europe-west4,aws--eu-west-3,551550976,18.04
gcp--europe-west4,aws--eu-west-1,406192128,20.974
gcp--europe-west4,aws--eu-north-1,330825728,26.731
gcp--europe-west4,gcp--europe-north1,932708352,34.449
gcp--europe-west4,gcp--northamerica-northeast2,305528832,95.456
gcp--europe-west4,gcp--us-central1,276561920,106.134
gcp--europe-west4,gcp--asia-south1,200015872,141.991
gcp--europe-west4,gcp--asia-south2,168034304,169.364
gcp--europe-west4,aws--sa-east-1,43122688,198.667
gcp--europe-west4,gcp--asia-southeast1,133824512,200.202
gcp--europe-west4,aws--ap-southeast-1,42598400,200.619
gcp--europe-west4,gcp--asia-southeast2,123207680,217.24
gcp--europe-west4,aws--ap-northeast-1,38141952,230.512
gcp--europe-west4,aws--ap-southeast-2,29622272,282.577
gcp--europe-west4,gcp--australia-southeast2,89784320,285.565
gcp--europe-west3,gcp--europe-west1,1211760640,9.513
gcp--europe-west3,gcp--europe-west4,1202192384,10.761
gcp--europe-west3,aws--eu-west-3,794296320,11.463
gcp--europe-west3,gcp--europe-west2,1201143808,15.136
gcp--europe-west3,aws--eu-west-2,558366720,16.323
gcp--europe-west3,aws--eu-west-1,374210560,23.504
gcp--europe-west3,aws--eu-north-1,313393152,28.152
gcp--europe-west3,gcp--europe-north1,914358272,33.731
gcp--europe-west3,gcp--northamerica-northeast2,306708480,96.252
gcp--europe-west3,gcp--us-central1,277479424,106.347
gcp--europe-west3,gcp--asia-south1,219283456,133.509
gcp--europe-west3,gcp--asia-south2,181534720,157.207
gcp--europe-west3,gcp--asia-southeast1,140378112,192.802
gcp--europe-west3,aws--ap-southeast-1,43646976,194.546
gcp--europe-west3,aws--sa-east-1,45613056,199.348
gcp--europe-west3,gcp--asia-southeast2,131727360,209.501
gcp--europe-west3,aws--ap-northeast-1,35913728,227.718
gcp--europe-west3,aws--ap-southeast-2,28966912,285.17
gcp--europe-west3,gcp--australia-southeast2,90308608,286.002
gcp--europe-west2,aws--eu-west-2,1211891712,4.123
gcp--europe-west2,gcp--europe-west1,1205600256,8.349
gcp--europe-west2,aws--eu-west-3,911867904,10.294
gcp--europe-west2,aws--eu-west-1,672137216,12.565
gcp--europe-west2,gcp--europe-west4,1199308800,13.794
gcp--europe-west2,gcp--europe-west3,1194459136,15.172
gcp--europe-west2,aws--eu-north-1,274202624,32.216
gcp--europe-west2,gcp--europe-north1,749731840,41.637
gcp--europe-west2,gcp--northamerica-northeast2,349569024,85.651
gcp--europe-west2,gcp--us-central1,305397760,96.658
gcp--europe-west2,gcp--asia-south1,204734464,140.911
gcp--europe-west2,gcp--asia-south2,174194688,165.259
gcp--europe-west2,aws--sa-east-1,43384832,189.699
gcp--europe-west2,aws--ap-southeast-1,44040192,199.246
gcp--europe-west2,gcp--asia-southeast1,138543104,203.964
gcp--europe-west2,gcp--asia-southeast2,125566976,213.998
gcp--europe-west2,aws--ap-northeast-1,37486592,222.578
gcp--europe-west2,aws--ap-southeast-2,30932992,274.429
gcp--europe-west2,gcp--australia-southeast2,94240768,274.703
gcp--europe-west1,aws--eu-west-3,1215561728,6.338
gcp--europe-west1,gcp--europe-west2,1195638784,8.465
gcp--europe-west1,gcp--europe-west3,1212809216,9.308
gcp--europe-west1,gcp--europe-west4,1202323456,11.02
gcp--europe-west1,aws--eu-west-2,823918592,11.043
gcp--europe-west1,aws--eu-west-1,434503680,18.927
gcp--europe-west1,aws--eu-north-1,316145664,30.92
gcp--europe-west1,gcp--europe-north1,904265728,34.418
gcp--europe-west1,gcp--northamerica-northeast2,330170368,89.77
gcp--europe-west1,gcp--us-central1,292945920,100.348
gcp--europe-west1,gcp--asia-south1,210763776,139.279
gcp--europe-west1,gcp--asia-south2,179306496,158.408
gcp--europe-west1,aws--sa-east-1,43646976,193.854
gcp--europe-west1,aws--ap-southeast-1,44433408,194.635
gcp--europe-west1,gcp--asia-southeast1,140902400,198.554
gcp--europe-west1,gcp--asia-southeast2,128712704,213.401
gcp--europe-west1,aws--ap-northeast-1,39190528,226.097
gcp--europe-west1,aws--ap-southeast-2,30277632,279.594
gcp--europe-west1,gcp--australia-southeast2,92405760,280.143
gcp--europe-north1,aws--eu-north-1,697171968,12.193
gcp--europe-north1,gcp--europe-west4,950796288,33.53
gcp--europe-north1,gcp--europe-west3,922353664,34.068
gcp--europe-north1,gcp--europe-west1,901120000,34.593
gcp--europe-north1,aws--eu-west-3,231866368,37.082
gcp--europe-north1,aws--eu-west-2,209715200,40.724
gcp--europe-north1,gcp--europe-west2,744751104,42.067
gcp--europe-north1,aws--eu-west-1,183238656,48.249
gcp--europe-north1,gcp--northamerica-northeast2,237371392,122.735
gcp--europe-north1,gcp--us-central1,226885632,126.423
gcp--europe-north1,gcp--asia-south1,172752896,164.936
gcp--europe-north1,gcp--asia-south2,146931712,192.019
gcp--europe-north1,aws--sa-east-1,42467328,216.578
gcp--europe-north1,aws--ap-southeast-1,41025536,221.73
gcp--europe-north1,gcp--asia-southeast1,118226944,222.91
gcp--europe-north1,gcp--asia-southeast2,111149056,240.217
gcp--europe-north1,aws--ap-northeast-1,34603008,250.73
gcp--europe-north1,aws--ap-southeast-2,27787264,304.912
gcp--europe-north1,gcp--australia-southeast2,81002496,306.02
gcp--australia-southeast2,aws--ap-southeast-2,569114624,15.506
gcp--australia-southeast2,aws--ap-southeast-1,102629376,87.158
gcp--australia-southeast2,gcp--asia-southeast1,357040128,87.979
gcp--australia-southeast2,gcp--asia-southeast2,291373056,95.595
gcp--australia-southeast2,aws--ap-northeast-1,58982400,144.34
gcp--australia-southeast2,gcp--asia-south1,193462272,146.994
gcp--australia-southeast2,gcp--asia-south2,186908672,152.434
gcp--australia-southeast2,gcp--us-central1,144965632,187.29
gcp--australia-southeast2,gcp--northamerica-northeast2,135528448,202.686
gcp--australia-southeast2,aws--eu-west-2,30801920,274.962
gcp--australia-southeast2,aws--eu-west-3,29491200,281.412
gcp--australia-southeast2,aws--eu-west-1,32243712,283.556
gcp--australia-southeast2,gcp--europe-west4,92012544,284.282
gcp--australia-southeast2,gcp--europe-west3,89260032,285.919
gcp--australia-southeast2,gcp--europe-west2,87949312,287.011
gcp--australia-southeast2,gcp--europe-west1,84672512,291.392
gcp--australia-southeast2,aws--eu-north-1,27656192,298.958
gcp--australia-southeast2,gcp--europe-north1,81395712,311.892
gcp--australia-southeast2,aws--sa-east-1,24641536,319.123
gcp--asia-southeast2,aws--ap-southeast-1,532938752,14.751
gcp--asia-southeast2,gcp--asia-southeast1,1196294144,16.413
gcp--asia-southeast2,gcp--asia-south1,390856704,78.127
gcp--asia-southeast2,gcp--asia-south2,362807296,81.196
gcp--asia-southeast2,aws--ap-northeast-1,101842944,88.054
gcp--asia-southeast2,gcp--australia-southeast2,287047680,95.65
gcp--asia-southeast2,aws--ap-southeast-2,81002496,105.512
gcp--asia-southeast2,gcp--us-central1,135135232,207.599
gcp--asia-southeast2,gcp--europe-west3,132775936,211.193
gcp--asia-southeast2,aws--eu-west-3,39059456,212.102
gcp--asia-southeast2,gcp--europe-west4,129630208,212.999
gcp--asia-southeast2,gcp--europe-west1,132251648,213.565
gcp--asia-southeast2,aws--eu-west-2,41156608,213.82
gcp--asia-southeast2,gcp--europe-west2,127008768,217.456
gcp--asia-southeast2,gcp--northamerica-northeast2,123338752,219.443
gcp--asia-southeast2,aws--eu-west-1,38404096,225.599
gcp--asia-southeast2,aws--eu-north-1,34996224,235.377
gcp--asia-southeast2,gcp--europe-north1,112590848,240.322
gcp--asia-southeast2,aws--sa-east-1,24772608,343.821
gcp--asia-southeast1,aws--ap-southeast-1,1208614912,2.296
gcp--asia-southeast1,gcp--asia-southeast2,1206910976,16.322
gcp--asia-southeast1,gcp--asia-south1,493092864,61.447
gcp--asia-southeast1,aws--ap-northeast-1,124387328,72.837
gcp--asia-southeast1,gcp--asia-south2,424804352,73.037
gcp--asia-southeast1,gcp--australia-southeast2,344588288,86.012
gcp--asia-southeast1,aws--ap-southeast-2,93716480,94.501
gcp--asia-southeast1,gcp--us-central1,141426688,191.196
gcp--asia-southeast1,gcp--europe-west3,142213120,192.161
gcp--asia-southeast1,gcp--europe-west1,138805248,198.833
gcp--asia-southeast1,gcp--europe-west4,137101312,200.23
gcp--asia-southeast1,aws--eu-west-2,43253760,202.258
gcp--asia-southeast1,aws--eu-west-3,43253760,203.414
gcp--asia-southeast1,gcp--europe-west2,132251648,203.667
gcp--asia-southeast1,gcp--northamerica-northeast2,131989504,206.694
gcp--asia-southeast1,aws--eu-west-1,40370176,207.526
gcp--asia-southeast1,gcp--europe-north1,119668736,222.26
gcp--asia-southeast1,aws--eu-north-1,38010880,226.222
gcp--asia-southeast1,aws--sa-east-1,24641536,326.678
gcp--asia-south2,gcp--asia-south1,1184235520,32.67
gcp--asia-south2,aws--ap-southeast-1,124649472,69.931
gcp--asia-south2,gcp--asia-southeast1,428867584,72.766
gcp--asia-south2,gcp--asia-southeast2,369098752,81.037
gcp--asia-south2,aws--ap-northeast-1,64880640,140.254
gcp--asia-south2,gcp--australia-southeast2,189136896,152.599
gcp--asia-south2,gcp--europe-west3,177209344,157.699
gcp--asia-south2,gcp--europe-west1,169213952,158.232
gcp--asia-south2,aws--eu-west-3,52428800,160.321
gcp--asia-south2,gcp--europe-west4,163315712,161.682
gcp--asia-south2,aws--ap-southeast-2,53477376,162.238
gcp--asia-south2,gcp--europe-west2,171048960,165.365
gcp--asia-south2,aws--eu-west-2,52428800,172.099
gcp--asia-south2,aws--eu-west-1,48758784,179.314
gcp--asia-south2,aws--eu-north-1,46137344,190.269
gcp--asia-south2,gcp--europe-north1,148635648,192.336
gcp--asia-south2,gcp--northamerica-northeast2,106692608,247.549
gcp--asia-south2,gcp--us-central1,98697216,256.318
gcp--asia-south2,aws--sa-east-1,20578304,375.867
gcp--asia-south1,gcp--asia-south2,1195114496,22.365
gcp--asia-south1,gcp--asia-southeast1,488112128,61.307
gcp--asia-south1,aws--ap-southeast-1,135790592,61.917
gcp--asia-south1,gcp--asia-southeast2,401342464,78.002
gcp--asia-south1,gcp--europe-west3,209846272,133.653
gcp--asia-south1,aws--eu-west-3,61603840,135.825
gcp--asia-south1,gcp--europe-west1,207093760,138.315
gcp--asia-south1,aws--ap-northeast-1,64749568,140.514
gcp--asia-south1,gcp--europe-west2,200540160,140.999
gcp--asia-south1,gcp--europe-west4,206700544,141.464
gcp--asia-south1,aws--eu-west-2,59244544,142.626
gcp--asia-south1,gcp--australia-southeast2,197394432,146.88
gcp--asia-south1,aws--eu-west-1,54788096,151.646
gcp--asia-south1,aws--ap-southeast-2,56754176,152.255
gcp--asia-south1,aws--eu-north-1,55312384,156.405
gcp--asia-south1,gcp--europe-north1,167903232,165.354
gcp--asia-south1,gcp--northamerica-northeast2,122683392,223.216
gcp--asia-south1,gcp--us-central1,102367232,256.393
gcp--asia-south1,aws--sa-east-1,26738688,320.134
aws--sa-east-1,gcp--northamerica-northeast2,213516288,133.719
aws--sa-east-1,gcp--us-central1,200146944,145.703
aws--sa-east-1,aws--eu-west-1,48365568,176.894
aws--sa-east-1,aws--eu-west-2,44302336,185.801
aws--sa-east-1,gcp--europe-west2,143654912,189.621
aws--sa-east-1,gcp--europe-west1,139329536,194.166
aws--sa-east-1,aws--eu-west-3,47448064,195.408
aws--sa-east-1,gcp--europe-west4,131858432,198.918
aws--sa-east-1,gcp--europe-west3,131072000,199.126
aws--sa-east-1,aws--eu-north-1,37355520,214.661
aws--sa-east-1,gcp--europe-north1,118226944,216.357
aws--sa-east-1,aws--ap-northeast-1,32505856,255.289
aws--sa-east-1,aws--ap-southeast-2,26214400,311.861
aws--sa-east-1,gcp--australia-southeast2,76808192,316.318
aws--sa-east-1,gcp--asia-south1,73662464,320.437
aws--sa-east-1,aws--ap-southeast-1,25821184,321.678
aws--sa-east-1,gcp--asia-southeast1,73269248,327.777
aws--sa-east-1,gcp--asia-southeast2,69861376,343.201
aws--sa-east-1,gcp--asia-south2,60030976,380.009
aws--eu-west-3,gcp--europe-west1,2997878784,6.425
aws--eu-west-3,aws--eu-west-2,957612032,6.924
aws--eu-west-3,gcp--europe-west2,1737359360,10.376
aws--eu-west-3,gcp--europe-west3,1806565376,11.694
aws--eu-west-3,aws--eu-west-1,460849152,16.617
aws--eu-west-3,gcp--europe-west4,1492647936,17.552
aws--eu-west-3,aws--eu-north-1,297533440,28.173
aws--eu-west-3,gcp--europe-north1,798097408,37.428
aws--eu-west-3,gcp--northamerica-northeast2,305922048,92.819
aws--eu-west-3,gcp--us-central1,286130176,102.182
aws--eu-west-3,gcp--asia-south1,205520896,136.324
aws--eu-west-3,gcp--asia-south2,173408256,160.84
aws--eu-west-3,aws--ap-southeast-1,49283072,164.757
aws--eu-west-3,aws--sa-east-1,42336256,195.41
aws--eu-west-3,gcp--asia-southeast1,127401984,203.746
aws--eu-west-3,gcp--asia-southeast2,123994112,212.026
aws--eu-west-3,aws--ap-northeast-1,38010880,214.629
aws--eu-west-3,aws--ap-southeast-2,29753344,278.125
aws--eu-west-3,gcp--australia-southeast2,87949312,281.181
aws--eu-west-2,gcp--europe-west2,4288937984,4.255
aws--eu-west-2,aws--eu-west-3,954728448,7.968
aws--eu-west-2,gcp--europe-west1,1992294400,10.977
aws--eu-west-2,aws--eu-west-1,817364992,12.555
aws--eu-west-2,gcp--europe-west4,1825439744,14.919
aws--eu-west-2,gcp--europe-west3,1626079232,16.035
aws--eu-west-2,aws--eu-north-1,266207232,31.525
aws--eu-west-2,gcp--europe-north1,706609152,41.066
aws--eu-west-2,gcp--northamerica-northeast2,338690048,84.763
aws--eu-west-2,gcp--us-central1,302645248,96.737
aws--eu-west-2,gcp--asia-south1,195821568,142.25
aws--eu-west-2,gcp--asia-south2,164233216,163.088
aws--eu-west-2,aws--ap-southeast-1,47972352,170.075
aws--eu-west-2,aws--sa-east-1,46006272,185.818
aws--eu-west-2,gcp--asia-southeast1,120979456,202.803
aws--eu-west-2,aws--ap-northeast-1,39190528,208.154
aws--eu-west-2,gcp--asia-southeast2,124256256,212.372
aws--eu-west-2,aws--ap-southeast-2,31064064,266.854
aws--eu-west-2,gcp--australia-southeast2,91357184,274.952
aws--eu-west-1,aws--eu-west-2,719323136,12.538
aws--eu-west-1,gcp--europe-west2,928907264,13.17
aws--eu-west-1,aws--eu-west-3,494534656,16.585
aws--eu-west-1,gcp--europe-west1,1477312512,18.991
aws--eu-west-1,gcp--europe-west4,1180434432,21.201
aws--eu-west-1,gcp--europe-west3,1255800832,22.764
aws--eu-west-1,aws--eu-north-1,211025920,42.942
aws--eu-west-1,gcp--europe-north1,607387648,48.517
aws--eu-west-1,gcp--northamerica-northeast2,308150272,94.999
aws--eu-west-1,gcp--us-central1,275513344,104.169
aws--eu-west-1,gcp--asia-south1,182714368,151.115
aws--eu-west-1,gcp--asia-south2,155975680,173.588
aws--eu-west-1,aws--sa-east-1,46530560,176.813
aws--eu-west-1,aws--ap-southeast-1,46006272,179.836
aws--eu-west-1,aws--ap-northeast-1,40632320,198.555
aws--eu-west-1,gcp--asia-southeast1,122814464,209.269
aws--eu-west-1,gcp--asia-southeast2,122159104,225.738
aws--eu-west-1,aws--ap-southeast-2,32112640,254.951
aws--eu-west-1,gcp--australia-southeast2,88342528,283.341
aws--eu-north-1,gcp--europe-north1,1889402880,12.408
aws--eu-north-1,gcp--europe-west4,1072168960,26.823
aws--eu-north-1,gcp--europe-west3,1163919360,28.086
aws--eu-north-1,aws--eu-west-3,289669120,28.184
aws--eu-north-1,gcp--europe-west1,967573504,30.986
aws--eu-north-1,aws--eu-west-2,265420800,31.561
aws--eu-north-1,gcp--europe-west2,888012800,33.062
aws--eu-north-1,aws--eu-west-1,209453056,42.562
aws--eu-north-1,gcp--northamerica-northeast2,243531776,117.896
aws--eu-north-1,gcp--us-central1,234356736,123.019
aws--eu-north-1,gcp--asia-south1,175374336,156.233
aws--eu-north-1,aws--ap-southeast-1,48496640,176.671
aws--eu-north-1,gcp--asia-south2,141819904,185.177
aws--eu-north-1,aws--sa-east-1,37224448,214.631
aws--eu-north-1,gcp--asia-southeast1,112066560,223.282
aws--eu-north-1,gcp--asia-southeast2,105644032,234.047
aws--eu-north-1,aws--ap-northeast-1,33947648,242.629
aws--eu-north-1,aws--ap-southeast-2,27394048,292.665
aws--eu-north-1,gcp--australia-southeast2,76808192,298.744
aws--ap-southeast-2,gcp--australia-southeast2,1596194816,15.422
aws--ap-southeast-2,aws--ap-southeast-1,92930048,92.254
aws--ap-southeast-2,gcp--asia-southeast1,305266688,93.254
aws--ap-southeast-2,aws--ap-northeast-1,84279296,101.757
aws--ap-southeast-2,gcp--asia-southeast2,268173312,106.586
aws--ap-southeast-2,gcp--asia-south1,178257920,151.81
aws--ap-southeast-2,gcp--asia-south2,172621824,159.851
aws--ap-southeast-2,gcp--us-central1,143130624,185.357
aws--ap-southeast-2,gcp--northamerica-northeast2,129892352,202.251
aws--ap-southeast-2,aws--eu-west-1,30670848,256.542
aws--ap-southeast-2,aws--eu-west-2,31326208,266.924
aws--ap-southeast-2,gcp--europe-west2,91226112,274.686
aws--ap-southeast-2,aws--eu-west-3,28573696,278.143
aws--ap-southeast-2,gcp--europe-west1,89260032,279.575
aws--ap-southeast-2,gcp--europe-west4,86245376,281.252
aws--ap-southeast-2,gcp--europe-west3,86245376,285.119
aws--ap-southeast-2,aws--eu-north-1,26607616,292.58
aws--ap-southeast-2,gcp--europe-north1,77463552,303.538
aws--ap-southeast-2,aws--sa-east-1,26083328,311.888
aws--ap-southeast-1,gcp--asia-southeast1,4671406080,2.154
aws--ap-southeast-1,gcp--asia-southeast2,1789001728,15.744
aws--ap-southeast-1,gcp--asia-south1,479068160,61.629
aws--ap-southeast-1,gcp--asia-south2,443023360,68.756
aws--ap-southeast-1,aws--ap-northeast-1,113508352,72.948
aws--ap-southeast-1,gcp--australia-southeast2,345112576,85.081
aws--ap-southeast-1,aws--ap-southeast-2,88997888,92.256
aws--ap-southeast-1,aws--eu-west-3,50855936,164.975
aws--ap-southeast-1,aws--eu-west-2,49807360,170.157
aws--ap-southeast-1,aws--eu-north-1,47316992,174.983
aws--ap-southeast-1,aws--eu-west-1,46399488,179.831
aws--ap-southeast-1,gcp--us-central1,132120576,191.106
aws--ap-southeast-1,gcp--europe-west3,131203072,194.469
aws--ap-southeast-1,gcp--europe-west1,130940928,194.514
aws--ap-southeast-1,gcp--europe-west4,130547712,200.23
aws--ap-southeast-1,gcp--europe-west2,24117248,203.672
aws--ap-southeast-1,gcp--northamerica-northeast2,121503744,209.282
aws--ap-southeast-1,gcp--europe-north1,111542272,227.909
aws--ap-southeast-1,aws--sa-east-1,24903680,321.682
aws--ap-northeast-1,aws--ap-southeast-1,118882304,72.871
aws--ap-northeast-1,gcp--asia-southeast1,385351680,73.061
aws--ap-northeast-1,gcp--asia-southeast2,319815680,88.322
aws--ap-northeast-1,aws--ap-southeast-2,81526784,101.828
aws--ap-northeast-1,gcp--us-central1,214827008,128.999
aws--ap-northeast-1,gcp--asia-south2,187826176,139.02
aws--ap-northeast-1,gcp--asia-south1,206962688,140.853
aws--ap-northeast-1,gcp--northamerica-northeast2,181141504,146.665
aws--ap-northeast-1,gcp--australia-southeast2,191365120,147.816
aws--ap-northeast-1,aws--eu-west-1,41287680,198.539
aws--ap-northeast-1,aws--eu-west-2,38535168,208.194
aws--ap-northeast-1,aws--eu-west-3,38666240,214.857
aws--ap-northeast-1,gcp--europe-west2,111280128,219.579
aws--ap-northeast-1,gcp--europe-west4,107872256,225.241
aws--ap-northeast-1,gcp--europe-west1,109314048,226.53
aws--ap-northeast-1,gcp--europe-west3,104726528,228.67
aws--ap-northeast-1,aws--eu-north-1,32636928,242.581
aws--ap-northeast-1,gcp--europe-north1,95551488,253.144
aws--ap-northeast-1,aws--sa-east-1,32243712,255.323
