# workload  metric  num_samples  lowest_over_median  highest_over_median  median_speedup
account-generation	execution	5	0.968	1.003	5.696
account-generation	inner_block_executor	5	0.970	1.006	5.998
account-generation	output_bytes_per_txn	5	1.000	1.000	0.374
account-generation	total	5	0.847	1.012	5.399
airdrop-fanout	execution	4	0.991	1.018	3.644
airdrop-fanout	inner_block_executor	4	0.990	1.018	3.748
airdrop-fanout	output_bytes_per_txn	4	0.998	1.003	0.926
airdrop-fanout	total	4	0.991	1.017	3.584
apt-fa-transfer	execution	5	0.996	1.010	4.638
apt-fa-transfer	inner_block_executor	5	0.993	1.015	4.849
apt-fa-transfer	output_bytes_per_txn	5	1.000	1.000	0.599
apt-fa-transfer	total	5	0.895	1.107	4.076
batch100-transfer	execution	5	0.992	1.003	2.656
batch100-transfer	inner_block_executor	5	0.991	1.002	2.719
batch100-transfer	output_bytes_per_txn	5	1.000	1.000	0.942
batch100-transfer	total	5	0.991	1.004	2.623
bridge-relay	execution	4	0.975	1.050	4.373
bridge-relay	inner_block_executor	4	0.971	1.050	4.586
bridge-relay	output_bytes_per_txn	4	0.998	1.005	0.668
bridge-relay	total	4	0.961	1.036	4.339
cdp-liquidation	execution	4	0.966	1.025	6.847
cdp-liquidation	inner_block_executor	4	0.968	1.025	7.181
cdp-liquidation	output_bytes_per_txn	4	0.999	1.004	0.506
cdp-liquidation	total	4	0.955	1.028	6.688
clmm-swap	execution	4	0.992	1.015	8.612
clmm-swap	inner_block_executor	4	0.992	1.017	9.068
clmm-swap	output_bytes_per_txn	4	1.000	1.001	0.756
clmm-swap	total	4	0.997	1.017	8.414
clob-avl	execution	4	0.992	1.019	8.072
clob-avl	inner_block_executor	4	0.996	1.023	8.479
clob-avl	output_bytes_per_txn	4	0.997	1.000	0.737
clob-avl	total	4	0.989	1.010	7.897
dex-aggregator	execution	4	0.989	1.011	7.288
dex-aggregator	inner_block_executor	4	0.990	1.010	7.597
dex-aggregator	output_bytes_per_txn	4	0.999	1.000	0.841
dex-aggregator	total	4	0.973	1.019	6.935
lending-market	execution	4	0.992	1.012	7.553
lending-market	inner_block_executor	4	0.996	1.012	7.897
lending-market	output_bytes_per_txn	4	1.000	1.001	0.733
lending-market	total	4	0.884	1.014	7.356
liquidity-pool-swap	execution	5	0.998	1.017	5.274
liquidity-pool-swap	inner_block_executor	5	0.993	1.011	5.496
liquidity-pool-swap	output_bytes_per_txn	4	0.999	0.999	0.756
liquidity-pool-swap	total	4	0.925	1.131	6.084
nft-mint-market	execution	4	0.956	1.035	5.506
nft-mint-market	inner_block_executor	4	0.952	1.035	5.706
nft-mint-market	output_bytes_per_txn	4	0.999	1.005	0.671
nft-mint-market	total	4	0.963	1.059	5.331
no-op	execution	5	0.985	1.003	7.482
no-op	inner_block_executor	5	0.990	1.010	8.137
no-op	output_bytes_per_txn	5	1.001	1.001	0.238
no-op	total	5	0.784	1.050	6.700
oracle-batch	execution	4	0.995	1.006	10.836
oracle-batch	inner_block_executor	4	0.997	1.008	11.052
oracle-batch	output_bytes_per_txn	4	0.999	1.001	0.727
oracle-batch	total	4	0.991	1.011	10.701
order-book-no-matches1-market	execution	4	0.991	1.009	8.381
order-book-no-matches1-market	inner_block_executor	4	0.991	1.011	8.695
order-book-no-matches1-market	output_bytes_per_txn	4	0.999	1.000	0.881
order-book-no-matches1-market	total	4	0.931	1.099	7.261
stableswap	execution	4	0.980	1.008	8.364
stableswap	inner_block_executor	4	0.979	1.009	8.949
stableswap	output_bytes_per_txn	4	0.997	1.001	0.691
stableswap	total	4	0.905	1.043	7.836
token-v2-ambassador-mint	execution	5	0.982	1.018	4.642
token-v2-ambassador-mint	inner_block_executor	5	0.980	1.016	4.777
token-v2-ambassador-mint	output_bytes_per_txn	4	1.000	1.000	0.646
token-v2-ambassador-mint	total	5	0.996	1.012	4.499
